"GRN","Title","Value(£)","Start","End",""
"EP/S005218/1","Prosperity Partnership in Rapid Product Development","2,431,506","01-11-2018","31-10-2023","Visualise"
"EP/S009493/1","Nanomechanical Testing in Controlled Environments and in the TEM (Nano-TCT)","911,357","01-01-2019","31-12-2020","Visualise"
"EP/S013881/1","Nickel Superalloy Design for Corrosion Resistance","741,689","01-09-2019","31-08-2024","Visualise"
"EP/S018107/1","SUSTAIN Manufacturing Hub","10,319,155","01-04-2019","31-03-2026","Visualise"
"EP/S019111/1","UK FIRES: Locating Resource Efficiency at the heart of Future Industrial Strategy in the UK","5,176,328","01-04-2019","31-03-2024","Visualise"
"EP/S019367/1","The Royce: Capitalising on the investment","1,006,681","01-11-2018","31-10-2021","Visualise"
"EP/S021531/1","Correlative Mapping of Crystal Orientation and Chemistry at the Nanoscale","1,385,872","01-07-2019","30-06-2021","Visualise"
"EP/S021663/1","A LEAP 5000 XS for the UK National Atom Probe Facility","2,914,083","01-02-2019","31-01-2021","Visualise"
"EP/S02252X/1","EPSRC Centre for Doctoral Training in Functional Industrial Coatings","4,573,487","01-10-2019","31-03-2028","Visualise"
"EP/S022635/1","EPSRC and SFI Centre for Doctoral Training in Advanced Metallic Systems: Metallurgical Challenges for the Digital Manufacturing Environment","5,434,026","01-10-2019","31-03-2028","Visualise"
"EP/S032169/1","Novel Brazing Filler Metals using High Entropy Alloys","1,092,461","06-01-2020","05-01-2023","Visualise"
"EP/S032819/1","Modelling radiation resistant low activation High Entropy Alloys","337,695","01-12-2019","30-11-2022","Visualise"
"EP/S032835/1","Modelling radiation resistant low activation High Entropy Alloys","22,078","21-10-2019","20-10-2022","Visualise"
"EP/S036296/1","STEP Aluminium","2,249,250","01-03-2019","29-02-2024","Visualise"
"EP/S516089/1","Prosperity Partnership Call 2 Strategic Students-Tata Steel and Swansea University","284,976","01-10-2019","30-09-2023","Visualise"
"EP/T005041/1","Manufacture with Pulsed-Electric Mechano-Vibratory Machining","250,463","01-10-2019","30-09-2021","Visualise"
"EP/T005254/1","New tool - a breakthrough in incremental sheet forming","249,876","01-10-2019","30-09-2021","Visualise"
"EP/T006412/1","Integrated atomic force and confocal fluorescence lifetime imaging microscope with fibre-coupled infrared detector for materials research","817,064","01-12-2019","31-03-2022","Visualise"
"EP/T008687/1","A Moving Cracking Story: Designing against Hydrogen Embrittlement in Titanium","266,043","01-12-2019","28-02-2022","Visualise"
"EP/T009160/1","ENVIRO-COAT: ENVIROnmentally assisted, engineered Corrosion prOducts for Aqueous corrosion miTigation","346,769","01-04-2020","31-03-2023","Visualise"
"EP/T009306/1","An active interface for rapid structural control","249,131","18-05-2020","17-05-2022","Visualise"
"EP/T01041X/1","A Moving Cracking Story: Designing against Hydrogen Embrittlement in Titanium","652,823","01-10-2019","31-12-2021","Visualise"
"EP/T01489X/1","AFM-based nano-machining: developing and validating a novel modelling approach for effective process implementation in nanotechnology applications","692,656","01-01-2020","31-12-2022","Visualise"
"EP/T018518/1","Aerospace casting for the hybrid electric future","937,245","01-05-2020","30-04-2025","Visualise"
"EP/T024054/1","EPSRC Capital Award for Core Equipment - University of Warwick","275,000","17-01-2020","16-07-2021","Visualise"
"EP/T024127/1","TGA/FTIR as a Core Equipment for Delivering Research on Energy System Compound Stability","99,903","12-02-2020","11-08-2021","Visualise"
"EP/T024348/1","Swansea University - Capital Award for Core Equipment","125,000","13-02-2020","12-08-2021","Visualise"
"EP/T024437/1","Multi-User X-ray Diffraction (XRD) Core Equipment","100,000","13-02-2020","12-08-2021","Visualise"
"EP/T024992/1","Doing More With Less: A Digital Twin of state-of-the-art and emerging high value manufacturing routes for high integrity titanium alloy components","2,608,542","01-05-2020","30-04-2024","Visualise"
"EP/T02593X/1","National Research Facility for Lab X-ray CT","10,091,511","01-08-2020","31-07-2025","Visualise"
"EP/T026677/1","Tomographic Imaging: UK Collaborative Computational Projects","296,693","29-08-2020","28-03-2025","Visualise"
