"GRN","Title","Value(£)","Start","End",""
"EP/T014121/1","The UK High-Field Solid-State NMR National Research Facility","43,315","01-01-2020","31-12-2024","Visualise"
"EP/T014350/1","The UK High-Field Solid-State NMR National Research Facility","30,069","05-01-2020","04-01-2025","Visualise"
"EP/T014911/1","The UK High-Field Solid-State NMR National Research Facility","51,797","02-04-2020","01-04-2025","Visualise"
"EP/T01492X/1","The UK High-Field Solid-State NMR National Research Facility","23,982","01-04-2020","31-03-2025","Visualise"
"EP/T014997/1","The UK High-Field Solid-State NMR National Research Facility","22,420","05-01-2020","04-01-2025","Visualise"
"EP/T015063/1","The UK High-Field Solid-State NMR National Research Facility","2,431,378","05-01-2020","04-01-2025","Visualise"
"EP/T016000/1","EPSRC-SFI: An ocean microlab for autonomous dissolved inorganic carbon depth profile measurement","602,640","01-04-2020","31-03-2023","Visualise"
"EP/T020695/1","Failure process and optimal design of hybrid adhesive joints - a microscale experimental and numerical approach","217,561","01-04-2020","31-03-2022","Visualise"
"EP/T023465/1","Capital award for core equipment 2019","450,000","13-02-2020","12-08-2021","Visualise"
"EP/T023880/1","EPSRC Capital Award for Core Equipment at University of Southampton","449,518","02-01-2020","01-07-2021","Visualise"
"EP/T024216/1","Capital award for Core Equipment","300,000","20-12-2019","19-06-2021","Visualise"
"EP/T024437/1","Multi-User X-ray Diffraction (XRD) Core Equipment","100,000","13-02-2020","12-08-2021","Visualise"
"EP/T024542/1","STOP fibrous microplastic pollution from textiles by elucidating fibre damage and manufacturing novel textiles","624,583","01-04-2020","31-03-2023","Visualise"
"EP/T02464X/1","STOP fibrous microplastic pollution from textiles by elucidating fibre damage and manufacturing novel textiles","25,678","01-04-2020","31-03-2023","Visualise"
"EP/T02593X/1","National Research Facility for Lab X-ray CT","10,091,511","01-08-2020","31-07-2025","Visualise"
"EP/T026677/1","Tomographic Imaging: UK Collaborative Computational Projects","296,693","29-08-2020","28-03-2025","Visualise"
