"GRN","Title","Value(£)","Start","End",""
"EP/S036067/1","Connect NMR UK: A National NMR Network for the Physical and Life Sciences","17,770","01-10-2019","30-09-2022","Visualise"
"EP/S036458/1","Connect NMR UK: A National NMR Network for the Physical and Life Sciences","20,103","01-10-2019","30-09-2022","Visualise"
"EP/S036563/1","Anti tumour agents from natural products - new approaches to targeting ultra potent analogues of the duocarmycins","450,207","01-01-2020","31-12-2022","Visualise"
"EP/S036660/1","Structure, mechanism and assembly of a nano-scale biological rotary electric motor","2,042,298","01-04-2020","31-03-2025","Visualise"
"EP/T000481/1","An Artificial Ribosome","581,943","01-02-2020","31-01-2024","Visualise"
"EP/T000562/1","An Artificial Ribosome","664,201","01-01-2020","31-12-2023","Visualise"
"EP/T002794/1","TRANSCRIPTION AND NUCLEAR PHASE TRANSITIONS","1,747,030","01-04-2019","31-03-2022","Visualise"
"EP/T002875/1","Molecular Mechanics of Enzymes","2,086,999","01-04-2019","31-03-2022","Visualise"
"EP/T007397/1","EPSRC-SFI: Glycoconjugate tools for sensing endoglycosidase activity: a diagnostic sugar probe for heparanase","368,582","01-01-2020","31-12-2022","Visualise"
"EP/T00827X/1","Nanostar Sieving for Oligonucleotides Manufacture (NanoSieveOligo)","562,145","01-05-2020","30-04-2023","Visualise"
"EP/T014121/1","The UK High-Field Solid-State NMR National Research Facility","43,315","01-01-2020","31-12-2024","Visualise"
"EP/T014350/1","The UK High-Field Solid-State NMR National Research Facility","30,069","05-01-2020","04-01-2025","Visualise"
"EP/T014911/1","The UK High-Field Solid-State NMR National Research Facility","51,797","02-04-2020","01-04-2025","Visualise"
"EP/T01492X/1","The UK High-Field Solid-State NMR National Research Facility","23,982","01-04-2020","31-03-2025","Visualise"
"EP/T014997/1","The UK High-Field Solid-State NMR National Research Facility","22,420","05-01-2020","04-01-2025","Visualise"
"EP/T015063/1","The UK High-Field Solid-State NMR National Research Facility","2,431,378","05-01-2020","04-01-2025","Visualise"
"EP/T016043/1","C-Terminal Selective Ligation to Access Homogeneous Antibody Conjugates","444,295","01-03-2020","28-02-2023","Visualise"
"EP/T01783X/1","Synthesis of novel brevicidine and laterocidine analogues active against multi-drug-resistant Gram-negative bacteria","391,380","02-03-2020","01-03-2023","Visualise"
"EP/T019328/1","High Resolution High Throughput Mass Spectrometry to Characterise Materials, Chemicals, and BioCatalysts","1,099,473","01-01-2020","31-12-2022","Visualise"
"EP/T020164/1","Homegrown solutions in Viet Nam: bringing C. asiatica compounds forward as candidates to treat liver cancer","611,291","01-04-2020","31-03-2022","Visualise"
"EP/T020288/1","Nanoparticle based rapid diagnostics for TB disease","746,198","01-04-2020","31-03-2022","Visualise"
"EP/T020490/1","Patient-centric supramolecular formulations of new anti-leishmanial drugs for Indian Communities","906,253","01-04-2020","31-03-2022","Visualise"
"EP/T023198/1","EPSRC Capital Award for Core Equipment 2019","200,000","29-11-2019","28-05-2021","Visualise"
"EP/T023406/1","Supporting World-Class Labs at the University of Manchester","600,000","13-02-2020","12-08-2021","Visualise"
"EP/T023465/1","Capital award for core equipment 2019","450,000","13-02-2020","12-08-2021","Visualise"
"EP/T023651/1","Capital Award for Core Equipment at UCL","650,000","29-11-2019","28-05-2021","Visualise"
"EP/T023740/1","QMUL EPSRC Core Equipment Bid","125,000","13-02-2020","12-08-2021","Visualise"
"EP/T024011/1","Heriot-Watt University EPSRC Core Equipment Funding Award","250,000","13-02-2020","12-08-2021","Visualise"
"EP/T024259/1","University of Nottingham - Core Equipment Award","375,000","13-02-2020","12-08-2021","Visualise"
"EP/T024275/1","Capital Award for Core Equipment at Durham University","275,000","16-12-2019","15-06-2021","Visualise"
"EP/T024488/1","Core Equipment at the University of Leeds","550,000","13-02-2020","12-08-2021","Visualise"
"EP/T024585/1","Edinburgh Centre for Advanced Multi-Elemental Analysis (AMEA)","400,000","13-02-2020","12-08-2021","Visualise"
"EP/T024712/1","EPSRC Capital Award for Core Equipment - Imperial College London","840,189","01-12-2019","31-05-2021","Visualise"
"EP/T024968/1","EPSRC Core Capital Award","400,000","29-11-2019","28-05-2021","Visualise"
"EP/T025735/1","Smart hydrophilic/ hydrophobic switches for targeted membrane delivery","391,336","01-09-2020","31-08-2023","Visualise"
"EP/T031425/1","PEPR - A centre for Pulse Electron Paramagnetic Resonance spectroscopy at Imperial College","2,288,049","01-09-2020","31-08-2024","Visualise"
"EP/T033460/1","A Chemical Toolkit to Define Formaldehyde’s Enigmatic Biology","397,133","01-04-2021","31-03-2024","Visualise"
"NS/A000049/1","Wellcome EPSRC Centre for Medical Engineering","6,165,151","01-05-2017","30-04-2022","Visualise"
"NS/A000058/1","EPSRC UK National Crystallography Service","4,680,553","31-10-2016","30-09-2021","Visualise"
"NS/A000074/1","Identification and nucleotide resolution mapping of alkyl adducts in human DNA","253,881","01-09-2018","31-08-2021","Visualise"
